Symbol,Initial_Capital,Support_Levels,Resistance_Levels
BTC-EUR,0,20,21
ETH-EUR,0,11,10
DOGE-EUR,0,16,14
SOL-EUR,0,12,11
LINK-EUR,0,16,14
XRP-EUR,0,13,14
