Symbol,Initial_Capital,Support_Levels,Resistance_Levels
BTC-EUR,0,17,16
ETH-EUR,0,19,17
DOGE-EUR,0,21,19
SOL-EUR,0,19,16
LINK-EUR,0,16,18
XRP-EUR,0,17,19
