Date,Open,High,Low,Close,Volume
2024-07-04,3178.449462890625,3187.58203125,3016.687255859375,3051.49658203125,14939389538.0
2024-07-05,3050.47802734375,3066.718505859375,2825.4970703125,2825.4970703125,18734001109.0
2024-07-06,2828.559814453125,2871.57275390625,2609.965576171875,2748.694091796875,28700102079.0
2024-07-07,2749.052978515625,2841.297607421875,2726.381591796875,2831.39990234375,10687973595.0
2024-07-08,2829.580078125,2834.56982421875,2700.71484375,2705.88671875,10029529573.0
2024-07-09,2706.324951171875,2851.969482421875,2610.812744140625,2787.1982421875,20891880233.0
2024-07-10,2787.26416015625,2870.067138671875,2774.72216796875,2833.19775390625,14119553913.0
2024-07-11,2835.143798828125,2908.25341796875,2799.27978515625,2863.80712890625,13458278524.0
2024-07-12,2862.991455078125,2944.70166015625,2820.801513671875,2851.13232421875,14005931128.0
2024-07-13,2850.819091796875,2893.62451171875,2799.570068359375,2869.714111328125,11675718846.0
2024-07-14,2870.072998046875,2930.25927734375,2852.245361328125,2909.389404296875,7843144601.0
2024-07-15,2908.970703125,3001.010498046875,2899.529541015625,2980.05322265625,9661704829.0
2024-07-16,2981.938720703125,3206.390625,2972.29345703125,3201.947265625,16796770177.0
2024-07-17,3198.819580078125,3210.51513671875,3074.84228515625,3158.580078125,18754805169.0
2024-07-18,3161.536376953125,3226.5283203125,3092.04833984375,3097.438232421875,15300145170.0
2024-07-19,3096.778076171875,3194.77734375,3092.83447265625,3143.2255859375,13793574376.0
2024-07-20,3142.90478515625,3254.158203125,3104.451904296875,3218.453857421875,16254724202.0
2024-07-21,3218.44140625,3250.152587890625,3197.11279296875,3231.23046875,9512185011.0
2024-07-22,3231.350830078125,3257.70458984375,3137.033935546875,3244.92041015625,12703958104.0
2024-07-23,3244.9404296875,3267.889404296875,3145.68212890625,3159.509521484375,17194449833.0
2024-07-24,3159.82958984375,3255.593994140625,3128.411865234375,3209.282470703125,22552015651.0
2024-07-25,3209.42626953125,3214.86279296875,3047.586181640625,3078.173583984375,14799697089.0
2024-07-26,3078.194580078125,3083.1318359375,2847.729736328125,2925.320556640625,23308869695.0
2024-07-27,2924.9736328125,3022.081787109375,2923.0732421875,3013.0595703125,14710399560.0
2024-07-28,3013.004638671875,3060.686767578125,2939.2041015625,2987.266845703125,13979882114.0
2024-07-29,2987.174072265625,3019.96142578125,2945.09716796875,3014.4912109375,8255488423.0
2024-07-30,3014.480712890625,3133.716796875,3010.947021484375,3069.07470703125,16946354323.0
2024-07-31,3069.16357421875,3112.475830078125,2993.356201171875,3031.410400390625,12986525118.0
2024-08-01,3031.427734375,3087.5185546875,2970.0068359375,2985.348876953125,14907252275.0
2024-08-02,2985.305419921875,2994.44921875,2854.228759765625,2968.1640625,18743733197.0
2024-08-03,2968.1962890625,2980.7890625,2715.749267578125,2734.319091796875,19596393964.0
2024-08-04,2734.26220703125,2762.14697265625,2620.96728515625,2659.6318359375,16345990735.0
2024-08-05,2659.35986328125,2685.360107421875,2417.9619140625,2462.19189453125,19375290291.0
2024-08-06,2461.8515625,2470.9931640625,1944.5367431640625,2207.36376953125,61793726348.0
2024-08-07,2207.421630859375,2337.32080078125,2206.743408203125,2250.349365234375,23834962809.0
2024-08-08,2250.592041015625,2336.62744140625,2116.993896484375,2138.248046875,22204550410.0
2024-08-09,2138.5458984375,2492.950927734375,2124.935546875,2458.415283203125,21501014735.0
2024-08-10,2458.751708984375,2477.748046875,2339.279296875,2379.763427734375,16392824221.0
2024-08-11,2379.74853515625,2419.4267578125,2362.42822265625,2388.927734375,8568042705.0
2024-08-12,2388.879150390625,2488.48828125,2330.93994140625,2339.685546875,12458251242.0
2024-08-13,2339.909423828125,2514.666748046875,2302.36962890625,2491.25048828125,19799824289.0
2024-08-14,2491.133056640625,2503.873046875,2393.034423828125,2458.778564453125,14899108852.0
2024-08-15,2458.701416015625,2517.582275390625,2390.935302734375,2418.326171875,14371805595.0
2024-08-16,2418.29931640625,2435.287841796875,2295.672607421875,2342.29833984375,14897057142.0
2024-08-17,2342.2958984375,2387.8720703125,2325.853271484375,2350.71044921875,12034230172.0
2024-08-18,2350.69287109375,2381.06591796875,2346.720703125,2370.073486328125,6052276159.0
2024-08-19,2369.67724609375,2433.060791015625,2353.92724609375,2370.458740234375,8351497945.0
2024-08-20,2369.87939453125,2399.15234375,2324.687255859375,2379.034912109375,10796842708.0
2024-08-21,2379.034912109375,2434.23486328125,2301.236572265625,2312.345703125,11906767561.0
2024-08-22,2312.34765625,2388.235107421875,2283.550537109375,2358.9013671875,11444030552.0
2024-08-23,2358.425048828125,2375.125732421875,2321.820556640625,2359.588623046875,9646588010.0
2024-08-24,2359.556884765625,2498.82177734375,2359.52294921875,2467.68359375,15047563485.0
2024-08-25,2468.607177734375,2517.08837890625,2445.973388671875,2474.217041015625,10511764075.0
2024-08-26,2473.956787109375,2494.9287109375,2444.465576171875,2456.8974609375,8378831731.0
2024-08-27,2456.977783203125,2467.37646484375,2390.94091796875,2401.631103515625,11000810703.0
2024-08-28,2401.884033203125,2418.065185546875,2146.890625,2199.78076171875,16130236278.0
2024-08-29,2199.940185546875,2296.50244140625,2167.381103515625,2272.83056640625,18301500763.0
2024-08-30,2272.78271484375,2343.193603515625,2263.26416015625,2282.242919921875,12586698774.0
2024-08-31,2282.188232421875,2297.5234375,2201.447509765625,2283.514892578125,14036757085.0
2024-09-01,2283.54833984375,2289.45263671875,2254.4794921875,2272.404541015625,6009560247.0
2024-09-02,2272.43212890625,2274.279296875,2174.4375,2198.24951171875,10684251137.0
2024-09-03,2198.313720703125,2315.032958984375,2196.61376953125,2293.4248046875,11313072746.0
2024-09-04,2293.400634765625,2305.974853515625,2190.28955078125,2190.948974609375,10324580028.0
2024-09-05,2190.57666015625,2245.229248046875,2093.810302734375,2210.277587890625,15080932672.0
2024-09-06,2210.286376953125,2224.704345703125,2114.820068359375,2130.8857421875,12268642669.0
2024-09-07,2130.852783203125,2166.1328125,1940.20556640625,2005.2694091796875,23286960081.0
2024-09-08,2005.3170166015625,2083.1025390625,2003.668212890625,2050.562255859375,10031059323.0
2024-09-09,2050.8603515625,2103.5712890625,2023.3349609375,2072.119140625,9667853812.0
2024-09-10,2072.663330078125,2156.151123046875,2059.630126953125,2137.138671875,14396650638.0
2024-09-11,2137.152587890625,2175.83642578125,2107.8251953125,2168.367919921875,11611258825.0
2024-09-12,2168.388671875,2168.49267578125,2070.912353515625,2125.13525390625,13946174206.0
2024-09-13,2125.134765625,2170.686279296875,2097.74853515625,2131.781982421875,10978188665.0
2024-09-14,2131.7451171875,2221.243896484375,2110.429931640625,2202.127197265625,12410054011.0
2024-09-15,2202.103271484375,2203.224609375,2153.82666015625,2182.003173828125,7371054956.0
2024-09-16,2181.70556640625,2192.99072265625,2062.5615234375,2093.26123046875,9159411686.0
2024-09-17,2093.2587890625,2099.083251953125,2032.36181640625,2062.37451171875,15112355501.0
2024-09-18,2062.375,2151.388916015625,2034.9189453125,2105.0009765625,13804474080.0
2024-09-19,2105.0234375,2132.192138671875,2046.3067626953125,2132.192138671875,16338828924.0
2024-09-20,2131.873291015625,2232.150390625,2131.873291015625,2208.666748046875,16521546176.0
2024-09-21,2208.69384765625,2304.70068359375,2185.70703125,2291.685546875,17102409949.0
2024-09-22,2291.513427734375,2346.915771484375,2264.834228515625,2341.754638671875,9666374926.0
2024-09-23,2341.746337890625,2356.2412109375,2265.25244140625,2314.650390625,11811943422.0
