Date;Time;Ticker;Action;Quantity;Price;Value;Fees;Order_Type;Status
2025-08-10;00:55:34;BTC-EUR;BUY;0.01;99981.44971875;1000;1.5;LIMIT;FILLED
2025-08-10;00:55:34;ETH-EUR;BUY;0.22;3658.3799501953126;800;1.2;LIMIT;FILLED
2025-08-10;00:55:35;DOGE-EUR;BUY;2420.0;0.20647794945538045;500;0.75;LIMIT;FILLED
