Symbol,Initial_Capital,Support_Levels,Resistance_Levels
BTC-EUR,0,18,18
ETH-EUR,0,17,16
DOGE-EUR,0,14,13
SOL-EUR,0,38,38
LINK-EUR,0,28,26
XRP-EUR,0,12,13
