Symbol,Initial_Capital,Support_Levels,Resistance_Levels
BTC-EUR,0,18,18
ETH-EUR,0,17,16
DOGE-EUR,0,6,7
SOL-EUR,0,15,13
LINK-EUR,0,28,26
XRP-EUR,0,17,21
